pergunta
Qual é a sua matéria preferida? Qual matéria preferida? Qual preferida é sua matéria?
Você estudou para a prova? Você estudou prova? Você prova estudou?
Eu amo matemática! Eu matemática! matemática!
Qual é o nome da sua professora? Qual nome sua professora? Qual é o nome sua professora?
Eu quero ser professor de matemática! Eu ser professor de matemática! Eu quero professor de matemática!
